Item,Price
"Apple MacBook Pro 16"" - Silber 2019 MVVL2D/A i7 2,6GHz, 16GB RAM, 512GB SSD, Radeon Pro 5300M, macOS - Touch Bar",5124.43
"Apple MacBook Pro 16"" - Space Grau 2019 MVVK2D/A i9 2,3GHz, 16GB RAM, 1TB SSD, AMD Radeon Pro 5500M, macOS - Touch Bar",3028.97
"Nuevo Apple MacBook Pro (de 16 pulgadas, 16 GB RAM, 1 TB de almacenamiento) - Gris espacial",2859.0
"Apple - MacBook Pro 15"" (All-in-One Desktop PC, 2.6 GHz, 256 SSD, 16 GB RAM, Radeon), Plata",2699.0
"Apple - MacBook Pro 15"" (All-in-One Desktop PC, 2.6 GHz, 256 SSD, 16 GB RAM, Radeon), Gris",2699.0
Steady Comps Ltd Mac Air Laptop/Touch ID and True-Tone/1.1Ghz Dual-Core i3/16GB RAM/Intel Iris Plus Graphics/New Scissor Keyboard/Dual Booting with Windows 10 Professional/Bootcamp (2TB SSD Storage),2662.55
"Apple MacBook Pro 16"" - Space Grau 2019 MVVJ2D/A i7 2,6GHz, 16GB RAM, 512GB SSD, Radeon Pro 5300M, macOS - Touch Bar",2484.8
Steady Comps Ltd Mac Air Laptop/Touch ID and True-Tone/1.1Ghz Dual-Core i3/8GB RAM/Intel Iris Plus Graphics/New Scissor Keyboard/Dual Booting with Windows 10 Professional/Bootcamp (1TB SSD Storage),2425.77
"Nuevo Apple MacBook Pro (de 13 pulgadas, 8GB RAM, 512GB de almacenamiento) - Gris Espacial (Modelo Anterior)",2108.92
"Apple MacBook Pro (de 15 pulgadas, Último Modelo, 16GB RAM, 512GB de almacenamiento) - Gris Espacial",2087.92
"Apple MacBook Pro (de 13 pulgadas, Modelo Anterior, 8GB RAM, 512GB de almacenamiento, Intel Core i5 a 2,3GHz) - Plata",1999.0
"Apple MacBook Pro 13"" - Space Grau 2019 MV972D/A i5 2,4GHz, 8GB RAM, 512GB SSD, macOS - Touch Bar",1799.0
"Apple - MacBook Pro 13"" (All-in-One Desktop PC, 2.9 GHz, 256 SSD, 8 GB RAM, Intel), Plata",1699.0
"Nuevo Apple MacBook Pro (de 13 pulgadas, 8GB RAM, 256GB de almacenamiento) - Gris Espacial (Modelo Anterior)",1699.0
"Apple Macbook Pro - Ordenador portátil de 15.4"" (Touch Bar/ID, 16 GB RAM, 512 GB SSD, Teclado QWERTY español), Color Gris",1667.9
"Apple - MacBook 12"" (All-in-One Desktop PC, 1.2 GHz, 512 SSD, 8 GB RAM, Intel), Gris",1657.92
"Apple - MacBook Pro 13"" (All-in-One Desktop PC, 2.0 GHz, 256 SSD, 8 GB RAM, Intel), Gris",1499.99
"Apple - MacBook Pro 13"" (All-in-One Desktop PC, 2.0 GHz, 256 SSD, 8 GB RAM, Intel), Plata",1499.0
"Apple MacBook Pro 13"" - Space Grau 2019 MUHP2D/A i5 1,4GHz, 8GB RAM, 256GB SSD, macOS - Touch Bar",1449.0
"Apple MacBook Pro 13"" - Silber 2019 MUHR2D/A - 2019 i5 1,4GHz, 8GB RAM, 256GB SSD, macOS - Touch Bar",1449.0
"Huawei Matebook X Pro - Ordenador portátil Ultrafino táctil 13.9"" 3K (Intel Core i7-8565U, 8GB RAM, 512GB SSD, Nvidia GeForce MX250, Windows 10 Home) Space Grey - Teclado QWERTY Español",1359.76
"Nuevo Apple MacBook Air (de 13 pulgadas, Intel Core i5 de cuatro núcleos a 1,1 GHz de décima generación, 8 GB RAM, 512 GB) - Gris espacial",1349.0
"Apple - MacBook 12"" (All-in-One Desktop PC, 1.1 GHz, 256 SSD, 8 GB RAM, Intel), Plateado",1233.78
"Apple - MacBook 12"" (All-in-One Desktop PC, 1.1 GHz, 256 SSD, 8 GB RAM, Intel), Plateado",1857.92
Apple MACBOOK Air 13.3'' (2019) ZÅ‚OTY (MVFM2ZE/A),1215.0
"Apple - MacBook Air 13"" (All-in-One Desktop PC, 1.6 GHz, 256 SSD, 8 GB RAM, Intel), Plata",1170.0
"LG gram 14Z990-V - Ordenador portátil ultrafino - 35.5 cm (14"") - FHD IPS (1 kg, autonomía 23.5 h, Intel i5 8ª generación, 8 GB RAM, 512 GB SSD, Windows 10 Home) Color Plata - Teclado QWERTY Español",1099.97
"Apple MacBook Pro 13"" - Space Grau 2019 MV962D/A i5 2,4GHz, 8GB RAM, 256GB SSD, macOS - Touch Bar",1050.0
"MSI PS42 8M-072ES - Ordenador portátil de 14"" Full HD (Intel Core i7-8550U, 8GB RAM, 512 GB SDD, tarjeta gráfica integrada, Windows 10 Home Plus sin ODD) plata - Teclado QWERTY Español",999.99
"Apple MacBook (de 12 pulgadas: Intel Core i5 de doble núcleo a 1,3 GHz, 512GB) - Oro (Modelo Anterior)",969.99
"Apple MacBook Air (de 13 pulgadas, Modelo Anterior, 8GB RAM, 256GB de almacenamiento, Intel Core i5 a 1,8GHz) - Plata",905.12
"Apple MacBook Air (de 13 pulgadas, Modelo Anterior, 8GB RAM, 128GB de almacenamiento, Intel Core i5 a 1,6GHz) - Plata",874.0
Apple MacBook Pro Retina 13in MF839LL / A / Intel Core i5 2.7 GHz / RAM 8 GB / 250 GB ssd / Tastiera qwerty US (Reacondicionado),874.0
"Acer Swift 5 - Ordenador portátil Ultrafino 15.6"" FullHD multitáctil (Intel Core i5-8265U, 8GB RAM, 256GB SSD, Intel UHD 620, Windows 10 Home) Azul - Teclado QWERTY Español",849.99
"Lenovo Ideapad 530S-14IKB - Ordenador Portátil 14"" FullHD (Intel Core i7-8550U, RAM de 8GB, 512GB de SSD, Intel UHD Graphics, Windows 10) Gris - Teclado QWERTY Español",799.0
"Nuevo Apple MacBook (de 12 pulgadas, Intel Core m3 de doble núcleo a 1,2 GHz, 256GB) - Gris espacial",750.0
"Lenovo ThinkBook 13s IWL - Ordenador portátil 13.3"" FHD (Intel Core i5-8265U, 8 GB RAM, 256 GB SSD, Intel UHD Graphics 620, Windows 10 Pro) gris - Teclado QWERTY español",19.97
"Apple MacBook Air 13"" MRE82D/A SpaceGrau Intel Core i5 1.6GHz, 8GB RAM, 128GB SSD, macOS Mojave - 2018",22.99
"Apple MacBook Air (de 13 pulgadas, Modelo Anterior, 8GB RAM, 128GB de almacenamiento) - Gris Espacial",15.99
"MSI Modern 14 A10RB-663XES - Ordenador portátil de 14"" FullHD (Intel Core i7-10510U, 16GB RAM, 512GB SSD, Nvidia MX250-2GB GDDR5, sin Sistema operativo) gris - teclado QWERTY Español",32.99
"Huawei Matebook 13 - Ordenador portátil Ultrafino táctil 13"" 2K (Intel Core i5-8250U, 8GB RAM, 512GB SSD, Nvidia GeForce MX250, Windows 10 Home) Mystic Silver - Teclado QWERTY Español, Plateado",
"MSI PS42 Modern 8RA-280XES - Ordenador portátil de 14"" FHD (Intel i7-8565U, 16 GB RAM, 512GB SSD, Nvidia GeForce MX250-2GB, sin sistema operativo) plata - Teclado QWERTY Español",
"HP 14-bk001ns Pavilion - Ordenador portátil 14"" FHD (Intel Core i5-7200U, 8 GB RAM, 256 GB SSD, Intel HD Graphics 620,Windows 10 Home 64), Plata",
"Microsoft Surface Pro 6 - Ordenador portátil 2 en 1, 12.3'' (Intel Core i5-8250U, 8GB RAM, 128GB SSD, Intel Graphics, Windows 10 Home) Color Plata",
Apple MacBook Air 13″ Core i5 1.6Ghz – 8GB RAM – 256GB SSD – 2015 - Teclado Italiano - (Reacondicionado),
"ASUS UX410UA-GV036T - Ordenador Portátil ultrafino de 14"" FullHD (Intel Core i7-7500U, 8 GB RAM, 256 GB SSD, Intel HD Graphics 620, Windows 10 Home) Teclado QWERTY Español",
"Huawei Matebook D15 - Ordenador Portátil de 15.6'' FullHD (AMD Ryzen 5 3500u, Multi-Screen Collaboration, 8GB RAM, 256GB SSD. Windows 10 Home), Mystic Silver, Teclado Qwerty Español",
"ASUS ZenBook UX410UA-GV028T - Ordenador portátil ultrafino 14"" FullHD (Intel Core i5-7200U, 8GB RAM, 256GB SSD, Intel graphics, Windows 10 Home) Gris cuarzo - Teclado QWERTY Español",
KECC MacBook Air 13 Pulgadas Funda Dura Case Cover MacBook Air 13.3 Ultra Delgado Plástico {A1466/A1369} (Flor Roja),
KECC MacBook Air 13 Pulgadas Funda Dura Case w/EU Cubierta Teclado MacBook Air 13.3 Ultra Delgado Plástico {A1466/A1369}(Arcoíris de Niebla),
"MOSISO Funda Protectora Compatible con 2019 2018 MacBook Air 13 A1932 Retina/2019-2016 MacBook Pro 13 A2159 A1989 A1706 A1708, Bolsa Blanda de Neopreno Agua Repelente con Pequeño Caso, Azul Marino",
"KECC MacBook Air 13 Retina (2020/2019/2018, Touch ID) Pulgadas Funda Dura Case w/EU Cubierta Teclado + Lamina Protectora + Manga MacBook Air 13.3 Ultra Delgado Plástico {A1932} (Chispeante Plateado)",
